season,kendall_tau,kendall_p,elimination_match,round_accuracy
1,0.7333333333333333,0.05555555555555555,False,0.4
2,0.911111111111111,2.9761904761904762e-05,False,0.6666666666666666
3,0.7818181818181819,0.0003334435626102293,False,0.2
4,0.7818181818181819,0.0003334435626102293,False,0.2
5,0.8484848484848484,1.6342325370103148e-05,False,0.2727272727272727
6,0.7878787878787877,0.00010742344075677409,False,0.36363636363636365
7,0.6666666666666665,0.000942590074534519,False,0.4166666666666667
8,0.7435897435897434,0.00014526497165386054,False,0.16666666666666666
9,0.7166666666666667,2.8762465771601023e-05,False,0.2
10,0.8181818181818182,0.00013227513227513228,False,0.3
11,0.7272727272727272,0.0004988835110362888,False,0.18181818181818182
12,0.7090909090909091,0.0015912097162097162,False,0.2
13,0.7575757575757575,0.00024002425044091711,False,0.36363636363636365
14,0.7272727272727272,0.0004988835110362888,False,0.09090909090909091
15,0.6153846153846153,0.002675523100870323,False,0.25
16,0.7878787878787877,0.00010742344075677409,False,0.0
17,0.6666666666666666,0.0018032758136924804,False,0.36363636363636365
18,0.6666666666666666,0.0018032758136924804,False,0.36363636363636365
19,0.7435897435897434,0.00014526497165386054,False,0.08333333333333333
20,0.6666666666666666,0.0018032758136924804,False,0.45454545454545453
21,0.8717948717948716,1.8079271551493775e-06,False,0.4166666666666667
22,0.8181818181818181,4.4129288920955584e-05,False,0.2727272727272727
23,0.8717948717948716,1.8079271551493775e-06,False,0.25
24,0.7272727272727272,0.0004988835110362888,False,0.2727272727272727
25,0.6153846153846153,0.002675523100870323,False,0.25
26,0.5111111111111111,0.04662257495590829,False,0.1111111111111111
27,0.7435897435897434,0.00014526497165386054,False,0.16666666666666666
28,0.7272727272727272,0.0004988835110362888,False,0.09090909090909091
29,0.7523809523809525,1.9694049703970338e-05,False,0.35714285714285715
30,0.6761904761904762,0.00019989992034469547,False,0.21428571428571427
31,0.7166666666666667,2.8762465771601023e-05,False,0.13333333333333333
32,0.8241758241758242,3.7950961810088793e-06,False,0.07692307692307693
33,0.6923076923076922,0.0005287205721233499,False,0.25
34,0.8021978021978022,8.816873896238976e-06,False,0.3076923076923077
